,The year of the disaster,The country ship belongs to,The name of the ship,Number of deaths,Interval
0,1987,Philippines,Dona Paz,4386,1980s
1,1948,China,Kiangya,2750,1940s
2,1917,Canada,Mont Blanc,1950,1910s
3,1912,UK,RMS Titanic,1517,1910s
4,1949,China,Taiping,1500,1940s
5,1954,Japan,Toya Maru,1153,1950s
6,1914,Canada,RMS Empress of Ireland,1012,1910s
7,1904,USA,General Slocum,1021,1900s
8,1912,Japan,Kiche Maru,1000,1910s
9,1921,Singapore,Hong Moh,1000,1920s
10,1927,Japan,Wusung,900,1920s
11,1994,Estonia,Estonia,852,1990s
12,1915,USA,Eastland,845,1910s
13,1996,Tanzania,Bukoba,800,1990s
14,1939,Soviet Union,Indigirka,741,1930s
15,1902,UK,Camorta,737,1900s
16,1914,UK,HMS Bulwark,736,1910s
17,1904,Denmark,Norge,635,1900s
18,1947,India,Ramdas,625,1940s
19,1955,Soviet Union,Novorossiysk,608,1950s
20,1947,USA,Grandcamp,581,1940s
21,1981,Indonesia,Tamponas II,580,1980s
22,1920,France,SS Afrique,568,1920s
23,1993,Haiti,Ferry Neptune,520,1990s
24,1986,Bangladesh,Shamia,510,1980s
25,1919,Spain,Valbanera,488,1910s
26,2000,Indonesia,Cahaya Bahari,481,2000s
27,1991,Egypt,Salem Express,470,1990s
28,1926,Spain,Principe de Asturias,445,1920s
29,1975,China,Hongxing 245/240,432,1970s
30,1986,Soviet Union,Admiral Nakhimov,423,1980s
31,1988,India,Unnamed passenger ship,400,1980s
32,1988,Philippines,Dona Marilyn,389,1980s
33,1999,Indonesia,KM Bismas Raya 2,361,1990s
34,1918,USA,Princess Sophia,343,1910s
35,1970,South Korea,Namyoung-ho,326,1970s
36,1904,Japan,Yoshino,319,1900s
37,1927,Italy,Principessa Mafalda,314,1920s
38,1999,China,Dashun,314,1990s
39,1999,Indonesia,Harta Rimba,313,1990s
40,1911,France,Liberte,300,1910s
41,1981,,Sobral Santos ll,300,1980s
42,1906,Italy,Sirio,293,1900s
43,1993,South Korea,Seohae Ferry,292,1990s
44,1996,Malta,F174,283,1990s
45,1958,Turkey,Uskudar,272,1950s
46,1994,Kenya,Likoni Ferry,272,1990s
47,1928,Chile,Angamos,262,1920s
48,1996,Indonesia,Gurita,260,1990s
49,1913,USA,,255,1910s
50,1961,UK,Dara,238,1960s
51,1966,Greece,Heraklion,234,1960s
52,1970,Saint Christopher - Nevis-Anguilla,MV Christena,233,1970s
53,1953,South Korea,Changgyeong,229,1950s
54,1921,Russian SFSR,Sovnarkom,225,1920s
55,1906,Brazil,Aquidaba,212,1900s
56,1909,UK,Waratah,211,1900s
57,1908,Japan,Matsushima,206,1900s
58,1919,UK,Iolaire,205,1910s
59,1988,Bangladesh,Haisal,200,1980s
60,1987,UK,Herald of Free Enterprise,193,1980s
61,1983,Soviet Union,Aleksandr Suvorov,177,1980s
62,1980,Philippines,Don Juan,176,1980s
63,1952,USA,USS Hobson,176,1950s
64,1914,Newfoundland,Southern Cross,173,1910s
65,1955,Japan,Shiun Maru,166,1950s
66,1990,Denmark,Scandinavian Star,159,1990s
67,1998,Philippines,Princess of the Orient,151,1990s
